                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.91683,                 1.7834,                 1.3096,                 1.0868,                0.94893,                0.95425,                0.98012,                0.78478,                0.94752,                0.95137,                0.97621,                0.67257,                0.65196,                 1.0774,                0.80299,                0.96581,               0.003324,               0.003324,               0.003324
                      2,                0.79996,                 1.3716,                0.75048,                  1.016,                0.97511,                0.97756,                0.98614,                0.82343,                0.97436,                0.97558,                0.98537,                0.72549,                0.60304,                0.87513,                0.60424,                0.94192,              0.0066442,              0.0066442,              0.0066442
                      3,                0.84735,                 1.4204,                0.72518,                 1.0383,                0.95911,                0.96664,                0.98394,                0.78626,                0.95123,                0.95808,                0.97197,                0.64833,                0.70876,                 1.1522,                0.63653,                0.99779,              0.0099511,              0.0099511,              0.0099511
                      4,                0.86901,                 1.4372,                0.69023,                 1.0551,                0.96847,                0.97341,                0.98605,                0.81725,                0.96361,                 0.9666,                  0.981,                0.70125,                0.63341,                 1.0123,                0.52279,                0.96795,              0.0099406,              0.0099406,              0.0099406
                      5,                 0.8235,                  1.348,                0.62393,                  1.038,                0.92504,                 0.8841,                0.94824,                0.73551,                0.91472,                0.86569,                0.92111,                0.59459,                0.82355,                 1.4661,                0.65358,                 1.1024,              0.0099208,              0.0099208,              0.0099208
                      6,                0.80313,                 1.3094,                 0.5885,                 1.0279,                0.97763,                0.98231,                0.98869,                0.84438,                 0.9753,                0.97998,                0.98809,                0.73893,                0.57885,                0.86815,                0.43712,                0.94082,               0.009901,               0.009901,               0.009901
                      7,                0.76984,                 1.2611,                0.55686,                  1.016,                0.97825,                0.98129,                0.98656,                0.84157,                0.97544,                0.97756,                0.98432,                0.75235,                0.57601,                0.83543,                0.40874,                0.93613,              0.0098812,              0.0098812,              0.0098812
                      8,                0.75782,                 1.2372,                 0.5432,                 1.0143,                   0.98,                0.98653,                 0.9874,                0.84595,                0.97682,                0.98378,                0.98581,                0.76779,                0.56094,                0.78558,                0.41049,                 0.9293,              0.0098614,              0.0098614,              0.0098614
                      9,                0.74035,                 1.1965,                0.52203,                 1.0062,                 0.9823,                0.98582,                0.98817,                0.86229,                0.97969,                 0.9842,                0.98772,                0.76646,                0.53419,                0.78761,                0.37056,                0.91432,              0.0098416,              0.0098416,              0.0098416
                     10,                0.73356,                 1.1847,                0.51469,                 1.0013,                0.98264,                0.98592,                0.98689,                0.86453,                 0.9813,                0.98457,                0.98542,                0.78356,                0.52906,                0.74452,                0.36437,                0.91675,              0.0098218,              0.0098218,              0.0098218
                     11,                0.71522,                 1.1581,                0.49701,                 0.9944,                0.98405,                0.98567,                0.98895,                0.86406,                0.98294,                0.98474,                0.98871,                0.78439,                 0.5264,                0.71685,                0.35987,                0.91279,               0.009802,               0.009802,               0.009802
                     12,                0.71201,                 1.1684,                0.49562,                0.99357,                 0.9835,                0.98992,                0.98812,                0.87009,                0.98176,                0.98824,                 0.9878,                0.77565,                0.51731,                0.75272,                0.35364,                0.90767,              0.0097822,              0.0097822,              0.0097822
                     13,                0.70398,                 1.1413,                0.48602,                0.98704,                 0.9827,                0.98743,                0.98764,                0.87452,                0.98129,                0.98698,                0.98741,                0.79091,                0.50494,                0.71719,                0.34321,                0.90431,              0.0097624,              0.0097624,              0.0097624
