                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.64446,                   1.03,                0.43513,                0.96304,                0.98749,                  0.992,                0.98852,                0.89374,                0.98661,                0.99193,                0.98831,                0.81622,                0.44141,                 0.6124,                0.29586,                0.87506,              0.0095248,              0.0095248,              0.0095248
                     26,                0.63686,                 1.0226,                0.43367,                0.96063,                 0.9874,                0.99206,                0.98857,                0.89562,                0.98721,                0.99237,                0.98854,                0.82106,                0.44801,                0.60978,                0.29515,                0.87433,               0.009505,               0.009505,               0.009505
                     27,                0.63852,                 1.0333,                0.43102,                0.96128,                0.98776,                0.99285,                0.98824,                0.89868,                0.98785,                0.99294,                0.98825,                 0.8203,                0.44447,                0.60219,                0.29218,                0.87102,              0.0094852,              0.0094852,              0.0094852
                     28,                 0.6379,                 1.0347,                0.42942,                0.96002,                0.98743,                0.99156,                0.98828,                0.89719,                0.98662,                0.99156,                0.98847,                0.81997,                 0.4387,                0.60584,                0.28769,                0.87317,              0.0094654,              0.0094654,              0.0094654
                     29,                0.63027,                 1.0325,                 0.4265,                0.95754,                0.98722,                0.99129,                0.98809,                0.89786,                0.98649,                0.99048,                0.98803,                0.81942,                0.43353,                0.60237,                0.29068,                0.87244,              0.0094456,              0.0094456,              0.0094456
                     30,                0.62969,                 1.0174,                0.42173,                0.95748,                 0.9882,                0.99248,                0.98842,                0.90313,                0.98808,                0.99273,                 0.9883,                0.82167,                0.42948,                0.60181,                0.28141,                0.87086,              0.0094258,              0.0094258,              0.0094258
                     31,                 0.6263,                 1.0108,                0.42251,                0.95503,                0.98746,                0.99381,                0.98847,                0.90057,                0.98724,                0.99317,                0.98862,                0.82415,                0.42501,                0.58707,                0.28299,                0.86728,               0.009406,               0.009406,               0.009406
                     32,                0.62308,                 1.0131,                 0.4181,                0.95477,                0.98723,                0.99275,                0.98805,                0.89998,                  0.987,                0.99291,                0.98817,                0.82366,                0.42684,                0.59146,                0.28162,                0.86959,              0.0093862,              0.0093862,              0.0093862
                     33,                0.62604,                 1.0144,                0.41927,                0.95443,                 0.9881,                0.99176,                0.98869,                0.90549,                0.98766,                0.99131,                0.98886,                0.82434,                0.42355,                0.58783,                0.27605,                0.86469,              0.0093664,              0.0093664,              0.0093664
                     34,                0.62403,                 1.0061,                0.41744,                0.95439,                0.98857,                0.99348,                0.98818,                0.90206,                0.98777,                0.99352,                0.98841,                0.82235,                 0.4258,                0.58873,                 0.2794,                0.86503,              0.0093466,              0.0093466,              0.0093466
                     35,                 0.6176,                 1.0023,                0.41508,                0.95166,                0.98926,                0.99265,                0.98838,                0.90413,                0.98953,                0.99233,                0.98867,                0.82501,                0.41401,                0.58053,                0.27734,                0.86093,              0.0093268,              0.0093268,              0.0093268
                     36,                 0.6152,                0.99896,                0.41303,                0.95119,                0.98884,                0.99336,                0.98802,                0.91055,                 0.9883,                0.99282,                0.98785,                0.83135,                0.40911,                0.57296,                0.27087,                0.86173,               0.009307,               0.009307,               0.009307
                     37,                0.61408,                0.98799,                0.40995,                0.94924,                0.98868,                0.99291,                0.98752,                 0.9079,                 0.9885,                0.99273,                0.98759,                0.83091,                0.40861,                 0.5732,                0.27011,                0.85922,              0.0092872,              0.0092872,              0.0092872
                     38,                 0.6111,                 0.9823,                0.40893,                0.94926,                0.98838,                0.99295,                0.98804,                0.90965,                0.98798,                0.99255,                0.98822,                 0.8327,                0.40837,                0.56616,                0.26599,                0.85881,              0.0092674,              0.0092674,              0.0092674
                     39,                0.61181,                0.98723,                 0.4067,                0.94857,                  0.989,                0.99292,                0.98844,                0.90865,                0.98856,                 0.9932,                0.98852,                0.83426,                0.40718,                0.56824,                0.26541,                0.85803,              0.0092476,              0.0092476,              0.0092476
                     40,                0.60928,                0.98545,                0.40737,                0.95011,                0.98839,                0.99201,                0.98792,                0.91005,                0.98866,                0.99228,                0.98805,                  0.832,                 0.4083,                0.57011,                 0.2662,                0.85854,              0.0092278,              0.0092278,              0.0092278
                     41,                0.60376,                0.97886,                0.40394,                0.94718,                0.98881,                0.99336,                0.98832,                0.91309,                0.98846,                  0.993,                0.98847,                0.83575,                0.40856,                0.56612,                0.26439,                0.85994,               0.009208,               0.009208,               0.009208
                     42,                0.60522,                0.97994,                0.40714,                 0.9472,                0.98878,                0.99336,                0.98768,                0.91358,                0.98725,                0.99399,                0.98776,                0.83514,                0.39808,                0.55687,                0.26347,                0.85409,              0.0091882,              0.0091882,              0.0091882
                     43,                0.60479,                0.98078,                0.40294,                0.94653,                0.98832,                0.99336,                0.98834,                0.90909,                0.98846,                 0.9923,                0.98861,                0.83448,                0.40203,                0.55483,                0.26435,                0.85652,              0.0091684,              0.0091684,              0.0091684
                     44,                0.59764,                0.95385,                0.39782,                0.94229,                 0.9892,                0.99345,                0.98824,                0.91456,                0.98883,                0.99399,                0.98844,                0.83586,                0.39362,                0.56043,                0.25793,                0.85417,              0.0091486,              0.0091486,              0.0091486
                     45,                0.59517,                0.96318,                0.39865,                0.94121,                0.98891,                0.99327,                0.98773,                0.91481,                0.98928,                0.99264,                0.98772,                0.83693,                0.39258,                0.55154,                 0.2554,                0.85353,              0.0091288,              0.0091288,              0.0091288
                     46,                0.59141,                0.95306,                0.39526,                 0.9411,                 0.9898,                0.99267,                0.98817,                0.91605,                0.98898,                0.99219,                0.98833,                0.83807,                0.39214,                0.54984,                0.25291,                  0.854,               0.009109,               0.009109,               0.009109
                     47,                0.59744,                0.95769,                0.39819,                0.94128,                0.98807,                0.99354,                0.98805,                0.91698,                0.98804,                 0.9939,                0.98839,                0.83762,                0.39303,                0.55042,                0.25296,                0.85247,              0.0090892,              0.0090892,              0.0090892
                     48,                0.59248,                0.95332,                0.39333,                0.94005,                 0.9886,                0.99363,                0.98788,                0.91523,                0.98869,                0.99372,                0.98813,                0.83656,                 0.3904,                0.55131,                0.25472,                0.85061,              0.0090694,              0.0090694,              0.0090694
                     49,                0.59382,                 0.9527,                0.39668,                0.94174,                0.98706,                 0.9933,                  0.988,                0.91778,                0.98742,                0.99364,                0.98818,                0.83818,                0.38915,                0.54459,                0.25421,                0.85007,              0.0090496,              0.0090496,              0.0090496
                     50,                0.59516,                0.96533,                0.39547,                0.94393,                0.98884,                0.99354,                0.98806,                0.91557,                0.98901,                0.99371,                0.98814,                0.83908,                0.39224,                0.54739,                0.25477,                0.85208,              0.0090298,              0.0090298,              0.0090298
                     51,                0.59783,                0.97349,                0.39804,                 0.9435,                0.98831,                0.99395,                0.98815,                0.91674,                0.98866,                0.99443,                0.98821,                0.83802,                0.38725,                0.54415,                0.25057,                0.85004,                0.00901,                0.00901,                0.00901
                     52,                0.58418,                0.94307,                 0.3892,                0.93642,                0.98918,                0.99363,                0.98833,                0.91809,                0.98857,                0.99427,                0.98859,                0.83999,                0.38585,                0.54274,                0.24932,                0.84841,              0.0089902,              0.0089902,              0.0089902
                     53,                 0.5854,                0.94394,                0.39055,                0.93784,                0.98927,                0.99342,                0.98827,                0.91935,                0.98936,                0.99337,                0.98846,                0.83955,                0.38343,                0.54114,                0.24787,                0.84803,              0.0089704,              0.0089704,              0.0089704
                     54,                0.58684,                0.94952,                0.39099,                0.93777,                0.98936,                0.99379,                 0.9883,                0.91972,                 0.9899,                0.99441,                 0.9885,                0.84068,                0.38424,                0.53898,                0.24674,                0.84793,              0.0089506,              0.0089506,              0.0089506
                     55,                0.58151,                0.93151,                0.38668,                0.93519,                0.98945,                0.99344,                0.98841,                0.91809,                0.98858,                0.99442,                0.98864,                0.84227,                0.38742,                0.53386,                0.24602,                0.84959,              0.0089308,              0.0089308,              0.0089308
                     56,                0.58234,                0.93508,                0.38756,                0.93455,                0.98956,                0.99407,                0.98814,                0.92062,                0.98915,                0.99443,                0.98837,                0.84237,                0.38232,                0.53259,                0.24388,                  0.849,               0.008911,               0.008911,               0.008911
                     57,                0.58177,                0.93098,                0.38718,                0.93529,                0.98956,                0.99399,                0.98833,                0.92134,                0.98945,                 0.9935,                0.98832,                0.84234,                0.38234,                0.53621,                0.24388,                0.84837,              0.0088912,              0.0088912,              0.0088912
                     58,                0.58151,                  0.935,                0.38679,                0.93616,                0.98873,                0.99381,                 0.9883,                0.92155,                0.98901,                0.99407,                 0.9885,                0.84296,                0.37806,                0.53058,                0.24112,                0.84621,              0.0088714,              0.0088714,              0.0088714
